Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/S,vaardigheden,,,,,,,,,S
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",,,,,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.0,"communicatie, samenwerking en creativiteit",,,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1,S1.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.0,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.0.0,"communicatie, samenwerking en creativiteit","Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals",S,S1,S1.0,S1.0.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.1,onderhandelen,,,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",,S,S1,S1.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.1,onderhandelen,http://data.europa.eu/esco/skill/S1.1.0,onderhandelen,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",,S,S1,S1.1,S1.1.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.1,onderhandelen,http://data.europa.eu/esco/skill/S1.1.1,onderhandelen over en beheren van contracten en overeenkomsten,"Negotiating and managing contracts and agreements with others concerning matters such as prices, terms of service, employment conditions, access to land and facilities.","Examples include: 
- conclude business agreements
- manage contracts
- negotiate price",S,S1,S1.1,S1.1.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.1,onderhandelen,http://data.europa.eu/esco/skill/S1.1.2,bemiddelen en oplossen van geschillen,"Working with two or more separate people or groups involved in a disagreement or dispute to bring about an agreement, settlement or compromise.","Excludes:
- Making decisions

Examples include: 
- moderate in negotiations  
- handle financial disputes",S,S1,S1.1,S1.1.2
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.1,onderhandelen,http://data.europa.eu/esco/skill/S1.1.3,reageren op klachten,Handling and responding to complaints from clients or staff.,"Examples:
- Handle customer complaints
- Manage employee complaints",S,S1,S1.1,S1.1.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.2,contacten onderhouden en netwerken,,,"Developing alliances, contacts or partnerships, and exchanging information with others.",,S,S1,S1.2
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.2,contacten onderhouden en netwerken,http://data.europa.eu/esco/skill/S1.2.0,contacten onderhouden en netwerken,"Developing alliances, contacts or partnerships, and exchanging information with others.",,S,S1,S1.2,S1.2.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.2,contacten onderhouden en netwerken,http://data.europa.eu/esco/skill/S1.2.1,coördineren van werkzaamheden met anderen,"Communicating and liaising with colleagues, clients and other agencies on operational matters, problems and activities. Cooperating and liaising with outside agencies, clients and other organisational units to adapt the timing and nature of the activities.","Examples include: 
- coordinate construction activities
- communicate production plan
- liaise with logistics management teams",S,S1,S1.2,S1.2.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.2,contacten onderhouden en netwerken,http://data.europa.eu/esco/skill/S1.2.3,ontwikkelen van professionele relaties en netwerken,"Developing alliances, contacts or partnerships with colleagues, clients and stakeholders.","Examples include: 
- develop communication networks with shipping sites
- develop professional network
- maintain relationship with suppliers",S,S1,S1.2,S1.2.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.2,contacten onderhouden en netwerken,http://data.europa.eu/esco/skill/S1.2.4,behartigen van individuele en gemeenschapsbelangen,"Delivering arguments in favour of something, such as a cause, idea, or policy, to benefit another person or a community.","Excludes:
- Promoting goods and services
- Representing clients in legal proceeding

Examples:
- Advocate for healthcare users' needs
- Promote service users' rights
- Influence legislators",S,S1,S1.2,S1.2.4
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,,,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals",S,S1,S1.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,http://data.europa.eu/esco/skill/S1.3.0,onderwijzen en opleiden,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals",S,S1,S1.3,S1.3.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,http://data.europa.eu/esco/skill/S1.3.1,onderwijs geven in academische vakken of beroepsvorming,Instruct students in the theory and practice of academic or vocational subjects.,"Examples:
- Give theory lessons to pilots
- Teach biology
- Teach basic numeracy skills
- Teach industrial arts principles",S,S1,S1.3,S1.3.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,http://data.europa.eu/esco/skill/S1.3.2,onderwijs geven in veiligheidsprocedures,Teaching safety procedures or standards to other people.,"Examples:
- Educate employees on occupational hazards
- Provide on-board safety training
- Train staff in safety procedures
- Educate public on fire safety",S,S1,S1.3,S1.3.2
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,http://data.europa.eu/esco/skill/S1.3.3,opleiden op het gebied van operationele procedures,"Training employees, students or clients on operational procedures in the work place or and demonstrating the use of equipment or products.","Excludes:
- Teaching vocational subjects as part of formal learning
- Teaching safety procedures and standards
- Coaching

Examples include:
- Teach air cabin crew procedures
- Train operators in using mine machinery
- Demonstrate functionality of software products",S,S1,S1.3,S1.3.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,http://data.europa.eu/esco/skill/S1.3.4,opleiden op het gebied van gezondheid en medische onderwerpen,"Training patients, health providers, or carers on health or hygiene practices, medical procedures or physcial fitness.","Excludes:
- Teaching medicine or nursing as part of a formal education programme

Examples include:
- Teach first aid principles
- Train medical staff on nutrition
- Educate patient's relations on care",S,S1,S1.3,S1.3.4
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.3,onderwijzen en opleiden,http://data.europa.eu/esco/skill/S1.3.5,coachen en begeleiden,"Actively helping individuals or groups to improve their strengths, life skills, performance, learning skills and confidence and to optimise specific methods, skills or abilities.","Examples:
- Coach during a sports competition
- Assist clients with personal development
- Mentor individual employees",S,S1,S1.3,S1.3.5
