conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,advies aan anderen geven,,Suggesties geven over de beste manier om actie te ondernemen.,http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.5.0,sociale interactie | adviseren en overleggen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,skill/competence,transversal,interface die bij een specifieke applicatie hoort gebruiken,interface die bij een specifiek programma hoort gebruiken,Het begrijpen en gebruiken van interfaces van een applicatie of gebruikszaak.,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1 | http://data.europa.eu/esco/skill/S5.0.0,databases gebruiken | werken met computers
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09e28145-e205-4b7a-8b3b-5c4876396069,skill/competence,transversal,met anderen omgaan,,"Persoonlijk contact opnemen in een breed scala van situaties, waarbij gebruik wordt gemaakt van strategieën die zijn afgestemd op de context en het doel.",http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.8.0,sociale interactie | samenwerken met anderen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ab5084c-cbd0-46d5-b61f-f1b8e9cc0ca0,skill/competence,transversal,moeite doen,inspanningen leveren,Blijk geven van engagement om iets te doen dat moeilijk is en waarvoor hard werk nodig is.,http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5 | http://data.europa.eu/esco/skill/A1.9.0,standpunten | moeite doen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d715b0e-3026-40b9-aa9e-09f1d59054cf,skill/competence,transversal,praktische taken uitvoeren met slimme apparaten,,"Gebruiken van apparaten die onafhankelijk op het netwerk en op het internet zijn aangesloten, zoals slimme tv’s, robots, slimme koelkasten voor het uitvoeren van autonome taken.",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/S5.5.0,probleemoplossing met ICT-instrumenten en hardware | toegang tot en analyseren van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f2eee6f-2203-4cc8-9d79-854d2d5d8131,skill/competence,transversal,vraagtechnieken gebruiken,ondervragingstechnieken gebruiken,"Formuleren van vragen gepast voor het doel, zoals het verkrijgen van nauwkeurige informatie of het ondersteunen van het leerproces.",http://data.europa.eu/esco/skill/S1.7.3 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,luisteren en vragen stellen | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,verbintenissen nakomen,aan eisen voldoen,"Zijn taken op een gedisciplineerde, betrouwbare en doelgerichte manier uitvoeren.",http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5 | http://data.europa.eu/esco/skill/A1.13.0,standpunten | verbintenissen nakomen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,skill/competence,transversal,technische problemen oplossen,,"Technische problemen in kaart brengen bij het gebruik van apparaten en bij het gebruik van digitale omgevingen, en deze problemen oplossen (van troubleshooting tot het oplossen van complexere problemen).",http://data.europa.eu/esco/skill/S5.2.3 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,oplossen van computerproblemen | probleemoplossing met ICT-instrumenten en hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,skill/competence,transversal,ICT-veiligheidsbeleid implementeren,ICT-veiligheidsbeleid toepassen,"Richtsnoeren toepassen met betrekking tot de beveiliging van de toegang tot en het gebruik van computers, netwerken, toepassingen en de computergegevens die worden beheerd.",http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e | http://data.europa.eu/esco/skill/S5.2.2,ICT-toestellen beschermen | beschermen van ict-apparaten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,skill/competence,transversal,digitale technologie gebruiken voor actief burgerschap,als burger actief zijn via digitale technologieën | burgerschap uitoefenen met digitale technologieën | als burger actief zijn via digitale technologie | digitale technologieën gebruiken voor actief burgerschap,Participatie aan de samenleving door het gebruik van openbare en particuliere digitale diensten. Zoeken naar mogelijkheden voor zelfredzaamheid en voor participerend burgerschap via passende digitale technologieën.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/S5.6.1,digitale communicatie en samenwerking | gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit
